frame.time_epoch	ip.src	ip.dst	ip.len	tcp.dstport	tcp.srcport	udp.dstport	udp.srcport	frame.protocols
1429224216.091576000	10.3.40.217	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224216.116660000	10.3.40.28	10.3.40.145	418			51219	1900	eth:ip:udp:http
1429224216.299349000	10.3.40.121	10.3.40.145	1500	60312	2869			eth:ip:tcp
1429224216.299996000	10.3.40.121	10.3.40.145	1500	60312	2869			eth:ip:tcp
1429224216.299998000	10.3.40.121	10.3.40.145	1468	60312	2869			eth:ip:tcp:http:xml
1429224216.300096000	10.3.40.145	10.3.40.121	40	2869	60312			eth:ip:tcp
1429224216.300255000	10.3.40.145	10.3.40.121	40	2869	60312			eth:ip:tcp
1429224216.823474000	10.3.40.121	10.3.40.145	40	60312	2869			eth:ip:tcp
1429224216.857342000	10.3.40.122	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224216.925315000	10.3.40.217	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224218.013631000	10.3.40.145	239.255.255.250	125			1900	51219	eth:ip:udp:http
1429224218.168131000	10.3.40.145	74.125.22.188	41	5228	59786			eth:ip:tcp:data
1429224218.242559000	74.125.22.188	10.3.40.145	52	59786	5228			eth:ip:tcp
1429224218.492601000	10.3.40.217	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224219.014852000	10.3.40.121	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224219.075150000	10.3.40.217	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224219.537924000	10.3.40.122	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224220.086171000	10.3.40.145	173.194.123.36	41	443	59785			eth:ip:tcp:ssl
1429224220.098401000	173.194.123.36	10.3.40.145	52	59785	443			eth:ip:tcp
1429224220.147677000	10.3.40.209	10.3.40.145	419			51219	1900	eth:ip:udp:http
1429224220.582138000	10.3.40.28	10.3.40.145	418			51219	1900	eth:ip:udp:http
1429224220.790401000								eth:arp
1429224220.790456000								eth:arp
1429224221.014057000	10.3.40.145	239.255.255.250	125			1900	51219	eth:ip:udp:http
1429224221.066996000						1900	62910	eth:ipv6:udp:http
1429224221.321091000	10.3.40.122	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224221.321450000	10.3.40.217	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224221.626055000	10.3.40.209	10.3.40.145	419			51219	1900	eth:ip:udp:http
1429224221.629208000	10.3.40.28	10.3.40.145	418			51219	1900	eth:ip:udp:http
1429224223.088320000	10.3.40.121	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224223.401790000	10.3.40.217	10.3.40.145	422			51219	1900	eth:ip:udp:http
1429224223.483827000						5355	64620	eth:ipv6:udp:dns
1429224223.484288000	10.3.40.145	224.0.0.252	62			5355	64620	eth:ip:udp:dns
1429224223.484990000						5355	51592	eth:ipv6:udp:dns
1429224223.485353000	10.3.40.145	224.0.0.252	62			5355	51592	eth:ip:udp:dns
1429224223.898945000						5355	51592	eth:ipv6:udp:dns
1429224223.898994000						5355	64620	eth:ipv6:udp:dns
1429224223.899252000	10.3.40.145	224.0.0.252	62			5355	51592	eth:ip:udp:dns
1429224223.899428000	10.3.40.145	224.0.0.252	62			5355	64620	eth:ip:udp:dns
1429224224.779582000	10.3.40.145	10.3.255.255	78			137	137	eth:ip:udp:nbns
1429224224.780462000						5355	50820	eth:ipv6:udp:dns
1429224224.780923000	10.3.40.145	224.0.0.252	51			5355	50820	eth:ip:udp:dns
1429224224.781675000						5355	61361	eth:ipv6:udp:dns
1429224224.782089000	10.3.40.145	224.0.0.252	51			5355	61361	eth:ip:udp:dns
1429224225.047692000	10.3.40.145	239.255.255.250	125			1900	51219	eth:ip:udp:http
1429224225.050508000	10.3.40.145	10.3.40.28	52	2869	60313			eth:ip:tcp
1429224225.051422000	10.3.40.145	10.3.40.122	52	2869	60314			eth:ip:tcp
1429224225.052291000	10.3.40.145	10.3.40.209	52	2869	60315			eth:ip:tcp
1429224225.053145000	10.3.40.145	10.3.40.217	52	2869	60316			eth:ip:tcp
1429224225.053697000	10.3.40.28	10.3.40.145	52	60313	2869			eth:ip:tcp
1429224225.053885000	10.3.40.145	10.3.40.28	40	2869	60313			eth:ip:tcp
1429224225.054049000	10.3.40.145	10.3.40.28	293	2869	60313			eth:ip:tcp:http
1429224225.054162000	10.3.40.145	10.3.40.217	52	2869	60317			eth:ip:tcp
1429224225.055108000	10.3.40.145	10.3.40.121	52	2869	60318			eth:ip:tcp
1429224225.056860000	10.3.40.217	10.3.40.145	52	60316	2869			eth:ip:tcp
1429224225.057040000	10.3.40.145	10.3.40.217	40	2869	60316			eth:ip:tcp
1429224225.057238000	10.3.40.145	10.3.40.217	294	2869	60316			eth:ip:tcp:http
1429224225.057278000	10.3.40.28	10.3.40.145	261	60313	2869			eth:ip:tcp:http
1429224225.057280000	10.3.40.217	10.3.40.145	52	60317	2869			eth:ip:tcp
1429224225.057442000	10.3.40.145	10.3.40.217	40	2869	60317			eth:ip:tcp
1429224225.057871000	10.3.40.145	10.3.40.217	294	2869	60317			eth:ip:tcp:http
1429224225.058105000	10.3.40.28	10.3.40.145	1500	60313	2869			eth:ip:tcp
1429224225.058107000	10.3.40.28	10.3.40.145	1278	60313	2869			eth:ip:tcp
1429224225.058108000	10.3.40.28	10.3.40.145	1500	60313	2869			eth:ip:tcp:http:xml
1429224225.058228000	10.3.40.145	10.3.40.28	52	2869	60313			eth:ip:tcp
1429224225.058496000	10.3.40.145	10.3.40.28	40	2869	60313			eth:ip:tcp
1429224225.058768000	10.3.40.209	10.3.40.145	52	60315	2869			eth:ip:tcp
